1,Ice Cream,9.99,5,N/A,12/1/2022,Kansas
2,Lettuce,3,22,N/A,12/2/2022,Kansas
3,Tomato,2,1,N/A,12/3/2022,Kansas
4,Cookie Dough,5,7777,N/A,12/4/2022,Kansas
5,Pizza,0.01,2,N/A,12/5/2022,Kansas
6,Candy,100,100,N/A,12/6/2022,Kansas
7,Burger,1200,2,N/A,12/7/2022,Kansas
8,Chicken,2,70,N/A,12/8/2022,Kansas
9,Fries,4,90,N/A,12/9/2022,Kansas
10,Garbage Bag,15,30,N/A,12/10/2022,Kansas
11,Apple,20,250,N/A,12/11/2022,Kansas
12,Strawberries,4.99,30,N/A,12/12/2022,Kansas
13,Almond Milk,5.99,30,N/A,12/13/2022,Kansas
14,Oat Milk,6.99,40,N/A,12/14/2022,Kansas
15,Goat Milk,2.99,60,N/A,12/15/2022,Kansas
16,Ground Beef,3.99,40,N/A,12/16/2022,Kansas
17,Carrot,1.99,70,N/A,12/17/2022,Kansas
18,Milk,2.99,60,N/A,12/18/2022,Kansas
19,Yogurt,3.99,45,N/A,12/19/2022,Kansas
20,Shoe sole,999.99,50,N/A,12/20/2022,Kansas
21,Cutting Board,10.99,60,N/A,12/21/2022,Kansas
22,Blueberries,4.99,0,N/A,12/22/2022,Kansas